mesto_id,bliznje_mesto_id,razdalja_km
518,569,277.3
523,575,51.4
523,714,87.6
523,632,101.0
523,719,135.0
523,557,159.5
525,426,25.1
525,917,43.2
525,125,83.0
525,247,83.0
525,467,93.3
537,563,251.8
537,305,305.9
537,38,306.3
537,895,308.5
537,639,315.6
547,691,108.8
547,863,127.6
547,632,130.1
547,714,159.0
547,166,191.0
549,987,150.6
549,797,176.3
549,242,221.0
549,319,252.7
549,149,313.2
552,239,37.7
552,673,57.8
552,382,127.7
552,810,128.7
552,486,129.1
557,575,130.1
557,714,135.2
557,523,159.5
557,719,201.8
557,863,213.8
558,505,72.4
558,995,92.6
558,462,179.4
558,25,190.9
558,303,201.8
563,639,67.9
563,422,81.9
563,895,104.9
563,448,109.4
563,170,178.1
569,951,88.8
569,166,160.7
569,735,250.5
569,518,277.3
569,691,337.3
570,167,272.5
570,901,280.4
570,191,305.8
570,159,460.1
570,608,462.5
572,901,255.7
572,191,268.7
572,159,349.4
572,599,354.4
572,592,355.7
574,356,99.9
574,487,110.4
574,459,122.8
574,373,132.5
574,50,144.7
575,523,51.4
575,719,100.4
575,714,112.4
575,557,130.1
575,632,150.3
576,79,11.1
576,61,41.2
576,416,57.6
576,496,75.2
576,920,78.1
592,491,24.8
592,608,69.4
592,611,79.8
592,794,85.8
592,167,280.6
597,131,32.0
597,198,37.2
597,103,40.4
597,32,59.2
597,129,59.4
599,815,154.3
599,452,222.6
599,251,273.2
599,674,286.6
599,652,316.2
601,38,82.6
601,305,83.3
601,983,115.3
601,724,177.2
601,265,210.5
608,491,47.4
608,592,69.4
608,611,80.6
608,794,90.1
608,167,216.8
611,794,9.5
611,592,79.8
611,608,80.6
611,491,82.4
611,305,216.8
622,455,205.8
622,473,441.3
622,322,482.9
622,652,495.1
622,981,514.5
630,297,25.7
630,222,80.2
630,928,94.1
630,687,114.0
630,955,118.7
631,65,179.5
631,188,193.7
631,213,250.3
631,70,293.0
631,31,345.1
632,691,77.3
632,714,88.1
632,523,101.0
632,547,130.1
632,575,150.3
637,576,90.9
637,79,90.9
637,496,104.9
637,411,115.4
637,61,120.1
639,422,59.1
639,448,61.3
639,563,67.9
639,895,73.9
639,170,131.5
650,94,4.4
650,719,61.4
650,575,161.2
650,523,195.9
650,557,249.8
652,674,249.8
652,815,294.5
652,599,316.2
652,452,347.6
652,697,412.6
666,339,52.6
666,518,166.9
666,239,244.2
666,552,281.7
666,467,310.5
673,552,57.8
673,239,94.0
673,382,97.5
673,810,99.9
673,486,100.3
674,452,144.0
674,815,149.5
674,697,240.6
674,969,249.5
674,652,249.8
680,101,66.3
680,481,66.8
680,131,77.1
680,198,80.8
680,597,91.8
681,937,119.2
681,49,209.4
681,475,312.1
681,477,428.4
681,140,441.2
687,847,67.5
687,109,90.1
687,297,108.1
687,630,114.0
687,222,126.0
691,632,77.3
691,547,108.8
691,714,159.1
691,523,174.8
691,863,215.8
697,969,224.6
697,674,240.6
697,473,309.4
697,452,342.3
697,455,379.6
699,271,8.9
699,830,26.0
699,920,27.6
699,233,29.1
699,307,45.7
701,983,161.5
701,3,209.2
701,724,230.5
701,601,270.4
701,265,283.1
705,637,185.7
705,779,229.2
705,882,242.9
705,496,257.6
705,79,272.8
713,20,86.1
713,968,89.8
713,105,204.5
713,148,229.7
713,383,230.1
714,523,87.6
714,632,88.1
714,575,112.4
714,557,135.2
714,863,149.1
719,94,58.8
719,650,61.4
719,575,100.4
719,523,135.0
719,557,201.8
724,265,55.7
724,382,123.8
724,486,126.3
724,810,126.4
724,673,159.3
735,487,118.7
735,356,182.2
735,574,226.1
735,569,250.5
735,459,273.9
748,326,136.0
748,319,140.9
748,242,173.5
748,797,245.3
748,149,246.4
763,373,91.2
763,882,100.8
763,574,145.1
763,50,166.3
763,459,167.2
779,50,110.8
779,481,123.5
779,101,133.4
779,459,135.6
779,882,138.9
794,611,9.5
794,592,85.8
794,608,90.1
794,491,90.3
794,305,210.1
795,380,60.5
795,439,302.8
795,377,434.7
795,890,436.8
795,328,500.7
797,242,71.9
797,319,105.7
797,549,176.3
797,748,245.3
797,37,253.7
810,486,0.4
810,382,3.5
810,265,80.6
810,673,99.9
810,724,126.4
815,452,76.4
815,674,149.5
815,599,154.3
815,652,294.5
815,969,311.1
823,328,452.6
823,380,642.4
823,795,700.2
823,439,926.6
823,377,943.4
830,271,18.3
830,233,21.8
830,699,26.0
830,920,27.5
830,307,31.5
841,237,90.7
841,197,121.8
841,847,161.2
841,687,178.2
841,502,194.5
847,687,67.5
847,237,82.4
847,222,141.6
847,109,154.0
847,841,161.2
863,422,110.2
863,547,127.6
863,714,149.1
863,639,154.8
863,632,190.3
882,373,31.2
882,50,88.2
882,763,100.8
882,459,103.6
882,779,138.9
890,377,2.7
890,439,185.1
890,795,436.8
890,380,445.4
890,328,542.3
895,448,27.0
895,639,73.9
895,170,74.9
895,563,104.9
895,422,132.9
901,191,190.9
901,167,230.1
901,572,255.7
901,608,270.5
901,491,272.1
917,525,43.2
917,426,48.7
917,597,61.5
917,198,65.0
917,131,67.4
920,233,7.8
920,271,21.3
920,307,21.9
920,830,27.5
920,699,27.6
927,32,8.2
927,129,24.7
927,103,52.8
927,597,67.4
927,131,93.8
928,955,25.0
928,297,86.6
928,630,94.1
928,140,94.3
928,477,102.3
937,49,92.6
937,681,119.2
937,477,335.2
937,140,348.7
937,475,374.5
951,166,79.8
951,569,88.8
951,518,198.7
951,547,269.6
951,691,290.6
955,928,25.0
955,140,87.5
955,477,92.6
955,297,109.5
955,630,118.7
966,502,36.4
966,109,84.2
966,140,142.7
966,477,147.1
966,687,166.7
968,713,89.8
968,105,118.3
968,20,134.5
968,418,209.5
968,148,259.1
969,697,224.6
969,452,239.9
969,674,249.5
969,815,311.1
969,599,462.4
976,307,22.1
976,303,36.3
976,233,37.3
976,830,42.9
976,920,43.6
981,322,430.6
981,622,514.5
981,455,720.3
981,652,841.8
981,159,919.6
983,601,115.3
983,701,161.5
983,724,179.4
983,38,196.3
983,305,196.7
987,549,150.6
987,797,326.5
987,242,369.9
987,149,386.3
987,319,400.3
995,558,92.6
995,462,129.0
995,505,153.0
995,222,171.6
995,976,210.1
4,240,24.8
4,445,65.4
4,332,86.2
4,371,86.6
4,295,94.8
19,727,73.3
19,777,83.9
19,662,87.1
19,393,97.9
19,75,108.2
36,788,43.5
36,368,194.8
36,298,233.8
36,993,254.4
36,645,279.4
52,88,33.5
52,430,110.2
52,358,135.6
52,993,140.7
52,645,170.2
75,777,40.2
75,461,43.4
75,661,49.6
75,727,53.8
75,844,62.2
88,52,33.5
88,358,141.5
88,430,143.6
88,993,158.0
88,298,188.7
95,591,68.2
95,883,81.9
95,295,105.2
95,451,105.4
95,696,107.8
96,512,32.4
96,229,73.2
96,393,119.4
96,712,128.8
96,839,189.3
123,970,446.0
123,36,450.1
123,773,463.0
123,788,478.2
123,302,482.5
141,302,31.9
141,772,57.7
141,163,132.3
141,777,149.2
141,727,151.7
142,629,38.2
142,330,61.9
142,646,71.7
142,919,84.5
142,922,97.0
158,19,129.4
158,393,168.2
158,662,178.5
158,727,200.2
158,777,212.3
163,773,72.3
163,772,81.4
163,970,90.5
163,141,132.3
163,839,135.8
229,512,46.5
229,96,73.2
229,712,83.2
229,839,149.6
229,393,191.1
240,4,24.8
240,445,64.0
240,371,65.0
240,295,71.0
240,332,80.8
243,788,372.7
243,36,396.2
243,123,507.8
243,298,539.7
243,368,573.0
244,860,41.0
244,348,47.7
244,919,54.8
244,396,66.0
244,839,117.4
256,836,7.8
256,922,24.9
256,445,45.4
256,646,49.3
256,4,97.6
295,591,48.4
295,371,61.5
295,240,71.0
295,445,85.8
295,4,94.8
298,993,39.5
298,358,56.8
298,368,131.6
298,430,164.4
298,52,175.4
302,141,31.9
302,772,85.5
302,461,149.1
302,163,151.8
302,777,159.6
330,629,31.5
330,142,61.9
330,646,72.1
330,922,73.0
330,836,95.1
332,822,33.4
332,371,65.2
332,451,75.1
332,240,80.8
332,956,85.0
348,396,44.3
348,244,47.7
348,839,81.3
348,919,83.4
348,860,86.6
358,993,52.9
358,298,56.8
358,52,135.6
358,88,141.5
358,430,160.5
368,645,86.6
368,993,117.6
368,430,125.3
368,298,131.6
368,678,164.1
371,451,57.5
371,295,61.5
371,240,65.0
371,332,65.2
371,696,72.4
393,727,96.7
393,19,97.9
393,777,110.3
393,96,119.4
393,75,150.3
396,348,44.3
396,244,66.0
396,919,67.0
396,860,90.3
396,629,114.0
430,645,60.9
430,52,110.2
430,368,125.3
430,993,126.1
430,617,132.3
445,256,45.4
445,836,53.1
445,922,61.5
445,240,64.0
445,4,65.4
451,696,15.0
451,956,41.8
451,371,57.5
451,883,63.7
451,332,75.1
461,75,43.4
461,844,43.4
461,661,43.8
461,678,69.4
461,777,75.0
512,96,32.4
512,229,46.5
512,712,118.1
512,393,151.1
512,839,182.9
591,295,48.4
591,95,68.2
591,371,89.1
591,240,118.6
591,451,120.6
617,430,132.3
617,645,144.5
617,662,157.3
617,661,179.3
617,844,182.4
629,330,31.5
629,142,38.2
629,646,80.9
629,922,93.5
629,919,101.6
645,430,60.9
645,368,86.6
645,678,137.3
645,993,144.2
645,617,144.5
646,922,34.4
646,836,42.3
646,256,49.3
646,142,71.7
646,330,72.1
661,844,16.8
661,461,43.8
661,75,49.6
661,678,61.2
661,777,89.7
662,19,87.1
662,75,102.9
662,661,109.4
662,777,112.1
662,727,113.0
678,844,44.4
678,661,61.2
678,461,69.4
678,75,102.7
678,645,137.3
696,451,15.0
696,956,32.0
696,883,53.9
696,371,72.4
696,332,85.3
712,839,66.4
712,229,83.2
712,512,118.1
712,96,128.8
712,348,129.8
727,777,14.5
727,75,53.8
727,19,73.3
727,461,89.5
727,393,96.7
772,141,57.7
772,163,81.4
772,302,85.5
772,773,151.9
772,393,157.9
773,970,20.9
773,163,72.3
773,839,127.5
773,772,151.9
773,348,171.6
777,727,14.5
777,75,40.2
777,461,75.0
777,19,83.9
777,661,89.7
788,36,43.5
788,368,203.3
788,298,215.9
788,993,242.0
788,358,271.8
822,332,33.4
822,371,98.3
822,4,98.9
822,240,101.4
822,956,102.3
836,256,7.8
836,922,22.5
836,646,42.3
836,445,53.1
836,330,95.1
839,712,66.4
839,348,81.3
839,244,117.4
839,396,118.3
839,773,127.5
844,661,16.8
844,461,43.4
844,678,44.4
844,75,62.2
844,777,102.1
860,919,39.8
860,244,41.0
860,348,86.6
860,396,90.3
860,142,118.8
883,696,53.9
883,451,63.7
883,956,72.9
883,95,81.9
883,371,109.6
919,860,39.8
919,244,54.8
919,396,67.0
919,348,83.4
919,142,84.5
922,836,22.5
922,256,24.9
922,646,34.4
922,445,61.5
922,330,73.0
956,696,32.0
956,451,41.8
956,883,72.9
956,332,85.0
956,371,95.0
970,773,20.9
970,163,90.5
970,839,142.6
970,772,167.9
970,244,175.0
993,298,39.5
993,358,52.9
993,368,117.6
993,430,126.1
993,52,140.7
5,432,47.2
5,556,62.0
5,378,104.7
5,450,365.8
5,889,373.8
6,693,178.4
6,722,188.7
6,814,221.6
6,878,269.2
6,762,304.2
7,387,63.9
7,124,216.8
7,808,370.4
7,695,490.0
7,311,639.9
55,285,147.4
55,135,234.4
55,607,308.9
55,889,361.2
55,156,380.3
64,750,274.7
64,866,329.1
64,311,359.9
64,168,436.9
64,720,456.4
124,387,161.7
124,7,216.8
124,720,453.1
124,168,468.1
124,695,469.4
135,889,227.6
135,55,234.4
135,156,343.5
135,285,378.3
135,378,463.1
151,762,109.0
151,522,174.3
151,693,260.5
151,814,265.2
151,219,265.9
156,135,343.5
156,55,380.3
156,285,493.3
156,607,541.1
156,889,571.0
168,720,19.5
168,866,108.6
168,311,185.5
168,64,436.9
168,124,468.1
219,450,81.5
219,522,127.2
219,762,231.8
219,151,265.9
219,693,361.5
230,548,523.0
230,607,583.0
230,716,751.8
230,285,778.0
230,669,823.7
285,55,147.4
285,607,196.3
285,548,273.9
285,135,378.3
285,669,434.4
311,866,161.0
311,168,185.5
311,720,197.8
311,695,329.9
311,64,359.9
337,984,284.9
337,156,1119.2
337,545,1132.3
337,135,1300.7
337,889,1445.4
369,669,31.9
369,716,93.6
369,548,412.2
369,285,464.7
369,607,487.5
378,556,43.0
378,5,104.7
378,432,151.4
378,889,272.1
378,450,316.5
387,7,63.9
387,124,161.7
387,808,423.4
387,695,502.4
387,720,604.0
427,151,526.0
427,808,568.8
427,762,633.7
427,522,685.6
427,695,716.8
432,5,47.2
432,556,109.0
432,378,151.4
432,450,388.6
432,6,412.5
450,219,81.5
450,522,201.2
450,762,308.7
450,378,316.5
450,556,337.0
476,522,108.2
476,151,109.0
476,693,170.2
476,814,193.2
476,219,231.8
522,762,108.2
522,219,127.2
522,151,174.3
522,450,201.2
522,693,239.0
545,889,508.6
545,135,559.5
545,450,604.3
545,219,648.2
545,378,723.7
548,607,121.0
548,285,273.9
548,716,386.5
548,669,394.0
548,55,408.7
556,378,43.0
556,5,62.0
556,432,109.0
556,889,312.5
556,450,337.0
607,548,121.0
607,285,196.3
607,55,308.9
607,669,464.1
607,716,480.0
669,369,31.9
669,716,113.5
669,548,394.0
669,285,434.4
669,607,464.1
693,814,57.2
693,722,127.2
693,878,137.7
693,762,170.2
693,6,178.4
695,311,329.9
695,808,352.5
695,124,469.4
695,168,480.3
695,720,483.4
716,369,93.6
716,669,113.5
716,548,386.5
716,607,480.0
716,285,495.0
720,168,19.5
720,866,128.0
720,311,197.8
720,124,453.1
720,64,456.4
722,878,95.5
722,814,109.5
722,693,127.2
722,6,188.7
722,762,294.7
750,64,274.7
750,899,372.3
750,866,603.5
750,311,621.8
750,168,711.6
762,522,108.2
762,151,109.0
762,693,170.2
762,814,193.2
762,219,231.8
808,695,352.5
808,7,370.4
808,387,423.4
808,124,508.4
808,427,568.8
814,693,57.2
814,878,84.7
814,722,109.5
814,762,193.2
814,6,221.6
866,168,108.6
866,720,128.0
866,311,161.0
866,64,329.1
866,695,489.7
878,814,84.7
878,722,95.5
878,693,137.7
878,6,269.2
878,762,270.1
889,135,227.6
889,378,272.1
889,556,312.5
889,55,361.2
889,5,373.8
899,750,372.3
899,64,623.0
899,866,936.7
899,311,982.0
899,168,1044.8
984,337,284.9
984,156,1394.9
984,545,1398.7
984,135,1585.4
984,889,1729.4
8,642,221.8
8,164,222.1
8,785,262.0
8,906,285.7
8,648,287.7
13,897,46.0
13,82,49.4
13,470,65.5
13,342,87.6
13,374,97.6
74,82,59.1
74,918,85.8
74,374,88.7
74,667,102.7
74,342,102.9
82,13,49.4
82,74,59.1
82,374,69.1
82,897,69.7
82,342,70.4
133,718,40.4
133,578,41.8
133,391,68.5
133,706,77.4
133,897,100.5
144,372,47.7
144,573,134.4
144,758,158.0
144,785,164.8
144,967,166.7
164,785,52.7
164,906,94.2
164,372,169.3
164,144,194.5
164,918,201.5
325,755,31.4
325,706,44.8
325,391,45.1
325,718,70.8
325,551,102.7
342,374,21.4
342,82,70.4
342,967,77.5
342,13,87.6
342,74,102.9
355,667,55.0
355,918,107.0
355,74,127.0
355,648,131.6
355,398,150.6
372,144,47.7
372,967,122.6
372,906,125.7
372,785,130.5
372,758,163.7
374,342,21.4
374,967,61.0
374,82,69.1
374,74,88.7
374,13,97.6
391,718,28.4
391,706,36.8
391,325,45.1
391,578,67.5
391,133,68.5
398,648,83.8
398,642,150.0
398,355,150.6
398,551,198.1
398,667,202.0
470,13,65.5
470,897,99.1
470,342,107.5
470,82,108.6
470,374,126.4
551,755,95.3
551,325,102.7
551,391,128.5
551,706,146.2
551,718,156.1
573,758,123.8
573,144,134.4
573,372,172.7
573,967,259.4
573,342,276.5
578,133,41.8
578,718,50.1
578,897,60.4
578,391,67.5
578,706,93.6
642,648,72.1
642,398,150.0
642,355,183.4
642,667,203.4
642,8,221.8
648,642,72.1
648,398,83.8
648,355,131.6
648,667,167.3
648,918,218.1
667,918,53.7
667,355,55.0
667,74,102.7
667,906,152.2
667,967,154.1
706,391,36.8
706,718,43.7
706,325,44.8
706,755,68.9
706,133,77.4
718,391,28.4
718,133,40.4
718,706,43.7
718,578,50.1
718,325,70.8
755,325,31.4
755,706,68.9
755,391,76.5
755,551,95.3
755,718,101.5
758,573,123.8
758,144,158.0
758,372,163.7
758,342,172.0
758,374,183.9
785,906,43.6
785,164,52.7
785,372,130.5
785,918,156.8
785,967,158.4
897,13,46.0
897,578,60.4
897,82,69.7
897,470,99.1
897,133,100.5
906,785,43.6
906,164,94.2
906,918,114.6
906,967,120.3
906,372,125.7
918,667,53.7
918,74,85.8
918,967,101.3
918,355,107.0
918,906,114.6
967,374,61.0
967,342,77.5
967,918,101.3
967,74,115.0
967,906,120.3
9,147,127.2
9,843,215.7
9,407,279.1
9,76,285.8
9,436,335.0
30,542,196.6
30,215,203.8
30,161,297.0
30,93,324.2
30,436,360.2
40,991,155.8
40,843,366.5
40,30,367.9
40,147,398.4
40,407,461.6
76,436,74.0
76,843,174.0
76,147,232.9
76,9,285.8
76,30,433.2
93,161,60.6
93,542,166.8
93,215,295.8
93,30,324.2
93,40,639.7
147,843,99.5
147,9,127.2
147,76,232.9
147,436,256.9
147,407,296.3
161,93,60.6
161,542,117.6
161,30,297.0
161,215,308.6
161,40,590.7
215,30,203.8
215,542,278.2
215,93,295.8
215,161,308.6
215,436,380.2
407,9,279.1
407,147,296.3
407,991,382.7
407,843,383.1
407,40,461.6
436,76,74.0
436,843,173.7
436,147,256.9
436,9,335.0
436,30,360.2
542,161,117.6
542,93,166.8
542,30,196.6
542,215,278.2
542,40,473.9
843,147,99.5
843,436,173.7
843,76,174.0
843,9,215.7
843,40,366.5
991,40,155.8
991,407,382.7
991,147,428.5
991,843,432.7
991,9,520.0
10,913,72.9
10,704,223.0
10,179,403.2
179,10,403.2
179,913,473.4
179,704,497.2
704,913,199.2
704,10,223.0
704,179,497.2
913,10,72.9
913,704,199.2
913,179,473.4
11,284,49.0
11,845,58.6
11,301,64.1
11,308,109.0
11,507,123.7
23,136,18.8
23,385,109.8
23,35,349.4
23,423,385.5
23,640,394.6
34,449,6.2
34,973,36.2
34,155,41.4
34,458,42.2
34,92,44.6
35,640,45.6
35,423,182.4
35,269,287.6
35,264,302.3
35,726,319.8
73,519,38.5
73,826,116.6
73,431,122.0
73,155,129.9
73,975,133.0
78,973,29.2
78,458,38.1
78,449,46.2
78,34,52.3
78,155,59.2
83,401,11.2
83,460,21.9
83,524,68.2
83,904,91.8
83,301,98.1
90,308,60.0
90,143,90.9
90,310,110.8
90,301,144.3
90,11,145.4
92,34,44.6
92,449,50.2
92,155,59.2
92,431,59.4
92,972,70.0
100,562,13.4
100,248,21.7
100,466,27.4
100,885,110.7
100,628,248.6
114,948,116.7
114,441,140.8
114,231,216.1
114,494,236.1
114,553,303.6
116,827,34.3
116,663,99.8
116,338,103.7
116,165,119.4
116,300,132.4
118,774,39.6
118,623,53.8
118,210,415.7
118,306,442.3
118,885,683.3
136,23,18.8
136,385,128.5
136,35,354.3
136,423,398.4
136,640,399.2
143,310,20.8
143,850,73.1
143,90,90.9
143,829,96.0
143,83,133.3
155,431,7.9
155,826,22.7
155,973,30.0
155,449,39.4
155,34,41.4
165,338,15.8
165,300,31.3
165,177,48.0
165,663,66.0
165,216,91.5
173,507,41.3
173,176,42.5
173,876,107.0
173,595,108.9
173,11,156.5
176,507,18.7
176,173,42.5
176,876,117.9
176,595,129.8
176,11,139.0
177,165,48.0
177,338,59.6
177,300,67.7
177,216,87.8
177,663,113.3
210,306,179.3
210,538,311.2
210,752,349.0
210,118,415.7
210,774,455.0
216,300,72.9
216,177,87.8
216,165,91.5
216,338,106.3
216,663,118.7
225,406,49.3
225,317,68.2
225,299,122.2
225,484,131.4
225,818,169.5
227,787,52.8
227,802,186.6
227,671,187.3
227,308,455.8
227,90,456.4
228,872,3.1
228,327,174.4
228,620,208.4
228,272,212.1
228,423,266.0
231,595,128.6
231,876,132.9
231,441,135.5
231,114,216.1
