id,ime,ocena,vstopnina,za_otroke,mesto_id
46,Okušanje lokalne kulinarike – Fujinomiya,1,NE,DA,46
47,Družinski ogled mesta – Kuala Lumpur,3,NE,DA,47
48,Kulturni sprehod – El Hamma,3,DA,DA,48
49,Sprehod po mestnem središču – Huangyuan Chengguanzhen,4,NE,DA,49
50,Kolesarski ogled mesta – Tomorlog,3,NE,NE,50
51,Ogled lokalne arhitekture – Niort,3,DA,DA,51
52,Obisk lokalne tržnice – Sampao,4,NE,DA,52
53,Fotografski sprehod – Mali Iđoš,4,NE,DA,53
54,Okušanje lokalne kulinarike – Xinmin,4,DA,DA,54
55,Družinski ogled mesta – Paiçandu,3,NE,NE,55
56,Kulturni sprehod – Lyaskelya,4,NE,DA,56
57,Sprehod po mestnem središču – Rumburk,3,DA,DA,57
58,Kolesarski ogled mesta – Strogino,1,NE,DA,58
59,Ogled lokalne arhitekture – Montería,2,NE,DA,59
60,Obisk lokalne tržnice – Tobi Village,2,DA,NE,60
61,Fotografski sprehod – Longhua,4,NE,DA,61
62,Okušanje lokalne kulinarike – Newcastle,1,NE,DA,62
63,Družinski ogled mesta – Kashima,4,DA,DA,63
64,Kulturni sprehod – Santa Quitéria do Maranhão,5,NE,DA,64
65,Sprehod po mestnem središču – Fengshan,1,NE,NE,65
66,Kolesarski ogled mesta – Mazatenango,5,DA,DA,66
67,Ogled lokalne arhitekture – Figueiras,5,NE,DA,67
68,Obisk lokalne tržnice – Maranura,4,NE,DA,68
69,Fotografski sprehod – Ashford,4,DA,DA,69
70,Okušanje lokalne kulinarike – Longshan,4,NE,NE,70
71,Družinski ogled mesta – Jiangkou,4,NE,DA,71
72,Kulturni sprehod – Amarillo,4,DA,DA,72
73,Sprehod po mestnem središču – Wanga,4,NE,DA,73
74,Kolesarski ogled mesta – Rokiciny,4,NE,DA,74
75,Ogled lokalne arhitekture – Danao,3,DA,NE,75
76,Obisk lokalne tržnice – Krolevets’,4,NE,DA,76
77,Fotografski sprehod – Cristóbal,2,NE,DA,77
78,Okušanje lokalne kulinarike – Kalisangkrah Lor,5,DA,DA,78
79,Družinski ogled mesta – Xindai,2,NE,DA,79
80,Kulturni sprehod – La Coipa,5,NE,NE,80
81,Sprehod po mestnem središču – Nago,4,DA,DA,81
82,Kolesarski ogled mesta – Klwów,2,NE,DA,82
83,Ogled lokalne arhitekture – Banjar Kampungbugis,2,NE,DA,83
84,Obisk lokalne tržnice – Lakha Nëvre,5,DA,DA,84
85,Fotografski sprehod – Kérkyra,4,NE,NE,85
86,Okušanje lokalne kulinarike – Montes,5,NE,DA,86
87,Družinski ogled mesta – Tonekābon,4,DA,DA,87
88,Kulturni sprehod – Maco,4,NE,DA,88
89,Sprehod po mestnem središču – To’rtko’l Shahri,2,NE,DA,89
90,Kolesarski ogled mesta – Kadipaten,4,DA,NE,90
91,Ogled lokalne arhitekture – Géfyra,5,NE,DA,91
92,Obisk lokalne tržnice – Cipatujah,4,NE,DA,92
93,Fotografski sprehod – Koryukivka,4,DA,DA,93
94,Okušanje lokalne kulinarike – Pujiang,3,NE,DA,94
95,Družinski ogled mesta – San Nicolas,2,NE,NE,95
96,Kulturni sprehod – Ogod,4,DA,DA,96
97,Sprehod po mestnem središču – Barranco de Loba,2,NE,DA,97
98,Kolesarski ogled mesta – Antes,4,NE,DA,98
99,Ogled lokalne arhitekture – Foros de Salvaterra,3,DA,DA,99
100,Obisk lokalne tržnice – Oemofa,3,NE,NE,100
101,Fotografski sprehod – Guling,3,NE,DA,101
102,Okušanje lokalne kulinarike – Zākhū,3,DA,DA,102
103,Družinski ogled mesta – Mushu,5,NE,DA,103
104,Kulturni sprehod – Borzoy,3,NE,DA,104
105,Sprehod po mestnem središču – Qiaolin,5,DA,NE,105
106,Kolesarski ogled mesta – Ramat HaSharon,4,NE,DA,106
107,Ogled lokalne arhitekture – Melgar,4,NE,DA,107
108,Obisk lokalne tržnice – Yegor’yevsk,1,DA,DA,108
109,Fotografski sprehod – Chunmuying,3,NE,DA,109
110,Okušanje lokalne kulinarike – Gornorechenskiy,3,NE,NE,110
111,Družinski ogled mesta – Zbraslav,2,DA,DA,111
112,Kulturni sprehod – Guazacapán,2,NE,DA,112
113,Sprehod po mestnem središču – Shancheng,2,NE,DA,113
114,Kolesarski ogled mesta – Bondokodi,1,DA,DA,114
115,Ogled lokalne arhitekture – Boston,4,NE,NE,115
116,Obisk lokalne tržnice – Suwalan,5,NE,DA,116
117,Fotografski sprehod – Gobō,5,DA,DA,117
118,Okušanje lokalne kulinarike – Saparua,3,NE,DA,118
119,Družinski ogled mesta – Osoyoos,4,NE,DA,119
120,Kulturni sprehod – Bibirevo,4,DA,NE,120
121,Sprehod po mestnem središču – Fontinha,4,NE,DA,121
122,Kolesarski ogled mesta – Lat Lum Kaeo,5,NE,DA,122
123,Ogled lokalne arhitekture – Panacan,1,DA,DA,123
124,Obisk lokalne tržnice – Solânea,2,NE,DA,124
125,Fotografski sprehod – Zhouyuan,3,NE,NE,125
126,Okušanje lokalne kulinarike – Hongshan,4,DA,DA,126
127,Družinski ogled mesta – Venda do Alcaide,4,NE,DA,127
128,Kulturni sprehod – Iowa City,1,NE,DA,128
129,Sprehod po mestnem središču – Toutai,4,DA,DA,129
130,Kolesarski ogled mesta – Miraflores,4,NE,NE,130
131,Ogled lokalne arhitekture – Goubangzi,2,NE,DA,131
132,Obisk lokalne tržnice – Mompós,3,DA,DA,132
133,Fotografski sprehod – Brzeźnica,5,NE,DA,133
134,Okušanje lokalne kulinarike – Vasyl'evsky Ostrov,4,NE,DA,134
135,Družinski ogled mesta – Panorama,4,DA,NE,135
136,Kulturni sprehod – Pasirpanjang,1,NE,DA,136
137,Sprehod po mestnem središču – Shijak,2,NE,DA,137
138,Kolesarski ogled mesta – Kortesjärvi,2,DA,DA,138
139,Ogled lokalne arhitekture – Ushuaia,4,NE,DA,139
140,Obisk lokalne tržnice – Cola,5,NE,NE,140
141,Fotografski sprehod – Ponong,4,DA,DA,141
142,Okušanje lokalne kulinarike – Del Pilar,4,NE,DA,142
143,Družinski ogled mesta – Banjar Jagasatru,3,NE,DA,143
144,Kulturni sprehod – Reszel,2,DA,DA,144
145,Sprehod po mestnem središču – Nartkala,5,NE,NE,145
146,Kolesarski ogled mesta – Marondera,4,NE,DA,146
147,Ogled lokalne arhitekture – Kolomak,4,DA,DA,147
148,Obisk lokalne tržnice – Jinjing,1,NE,DA,148
149,Fotografski sprehod – Liandu,1,NE,DA,149
150,Okušanje lokalne kulinarike – Hammam Sousse,4,DA,NE,150
151,Družinski ogled mesta – Guanhães,1,NE,DA,151
152,Kulturni sprehod – Bello,2,NE,DA,152
153,Sprehod po mestnem središču – Samanco,2,DA,DA,153
154,Kolesarski ogled mesta – Dyurtyuli,2,NE,DA,154
155,Ogled lokalne arhitekture – Karangpawitan,2,NE,NE,155
156,Obisk lokalne tržnice – Maracaju,4,DA,DA,156
157,Fotografski sprehod – Amnat Charoen,3,NE,DA,157
158,Okušanje lokalne kulinarike – Oras,2,NE,DA,158
159,Družinski ogled mesta – Lizhai,4,DA,DA,159
160,Kulturni sprehod – Celendín,4,NE,NE,160
161,Sprehod po mestnem središču – Tsyurupyns’k,4,NE,DA,161
162,Kolesarski ogled mesta – Senta,1,DA,DA,162
163,Ogled lokalne arhitekture – Lanas,4,NE,DA,163
164,Obisk lokalne tržnice – Stara Kiszewa,2,NE,DA,164
165,Fotografski sprehod – Barubandung,3,DA,NE,165
166,Okušanje lokalne kulinarike – Bailizhou,3,NE,DA,166
167,Družinski ogled mesta – Toupi,1,NE,DA,167
168,Kulturni sprehod – Maracanaú,5,DA,DA,168
169,Sprehod po mestnem središču – Pensacola,2,NE,DA,169
170,Kolesarski ogled mesta – Shancheng,5,NE,NE,170
171,Ogled lokalne arhitekture – Tangzi,3,DA,DA,171
172,Obisk lokalne tržnice – ‘Alīābād-e Katūl,5,NE,DA,172
173,Fotografski sprehod – Oekefan,1,NE,DA,173
174,Okušanje lokalne kulinarike – Moulins,4,DA,DA,174
175,Družinski ogled mesta – Irtyshskiy,5,NE,NE,175
176,Kulturni sprehod – Singaraja,4,NE,DA,176
177,Sprehod po mestnem središču – Gedongmulyo,3,DA,DA,177
178,Kolesarski ogled mesta – Ak’ordat,5,NE,DA,178
179,Ogled lokalne arhitekture – Xarardheere,5,NE,DA,179
180,Obisk lokalne tržnice – Kholbon,1,DA,NE,180
181,Fotografski sprehod – Filimonovo,2,NE,DA,181
182,Okušanje lokalne kulinarike – Toba Tek Singh,5,NE,DA,182
183,Družinski ogled mesta – Prosperous,2,DA,DA,183
184,Kulturni sprehod – Huancarqui,4,NE,DA,184
185,Sprehod po mestnem središču – Hatavch,3,NE,NE,185
186,Kolesarski ogled mesta – Riba de Ave,1,DA,DA,186
187,Ogled lokalne arhitekture – Frankfort,1,NE,DA,187
188,Obisk lokalne tržnice – Lijiang,4,NE,DA,188
189,Fotografski sprehod – Novosin’kovo,4,DA,DA,189
190,Okušanje lokalne kulinarike – Fentange,2,NE,NE,190
191,Družinski ogled mesta – Xilin Hot,3,NE,DA,191
192,Kulturni sprehod – La Paz,4,DA,DA,192
193,Sprehod po mestnem središču – Kifrī,4,NE,DA,193
194,Kolesarski ogled mesta – Akwanga,3,NE,DA,194
195,Ogled lokalne arhitekture – Bogolyubovo,3,DA,NE,195
196,Obisk lokalne tržnice – Leskovec pri Krškem,5,NE,DA,196
197,Fotografski sprehod – Huangjiabu,4,NE,DA,197
198,Okušanje lokalne kulinarike – Xiwu,2,DA,DA,198
199,Družinski ogled mesta – Viterbo,3,NE,DA,199
200,Kulturni sprehod – Frederiksberg,3,NE,NE,200
201,Sprehod po mestnem središču – Sacramento,3,DA,DA,201
202,Kolesarski ogled mesta – Vidin,4,NE,DA,202
203,Ogled lokalne arhitekture – Upata,5,NE,DA,203
204,Obisk lokalne tržnice – Agara,3,DA,DA,204
205,Fotografski sprehod – Ýdra,2,NE,NE,205
206,Okušanje lokalne kulinarike – Reims,4,NE,DA,206
207,Družinski ogled mesta – Mīrwāh Gorchani,1,DA,DA,207
208,Kulturni sprehod – Sydney,2,NE,DA,208
209,Sprehod po mestnem središču – Guiyang,5,NE,DA,209
210,Kolesarski ogled mesta – Ili,4,DA,NE,210
211,Ogled lokalne arhitekture – Xinjiezi,5,NE,DA,211
212,Obisk lokalne tržnice – São Domingos de Rana,3,NE,DA,212
213,Fotografski sprehod – Jiangtou,5,DA,DA,213
214,Okušanje lokalne kulinarike – Ryazan’,4,NE,DA,214
215,Družinski ogled mesta – Koloniya Zastav’ye,3,NE,NE,215
216,Kulturni sprehod – Sasa,4,DA,DA,216
217,Sprehod po mestnem središču – Ozërsk,2,NE,DA,217
218,Kolesarski ogled mesta – Karagay,2,NE,DA,218
219,Ogled lokalne arhitekture – Bom Despacho,4,DA,DA,219
220,Obisk lokalne tržnice – Carcassonne,5,NE,NE,220
221,Fotografski sprehod – Senovo,5,NE,DA,221
222,Okušanje lokalne kulinarike – Xiajiashan,2,DA,DA,222
223,Družinski ogled mesta – Hafnarfjörður,4,NE,DA,223
224,Kulturni sprehod – Richibucto,3,NE,DA,224
225,Sprehod po mestnem središču – Nangtang,5,DA,NE,225
226,Kolesarski ogled mesta – Chkalov,3,NE,DA,226
227,Ogled lokalne arhitekture – Cibenda,2,NE,DA,227
228,Obisk lokalne tržnice – Padangtepung,4,DA,DA,228
229,Fotografski sprehod – Bula,1,NE,DA,229
230,Okušanje lokalne kulinarike – Quaraí,4,NE,NE,230
231,Družinski ogled mesta – Semongkat,5,DA,DA,231
232,Kulturni sprehod – Paris 20,3,NE,DA,232
233,Sprehod po mestnem središču – Bor Ondor,4,NE,DA,233
234,Kolesarski ogled mesta – Cikondang,5,DA,DA,234
235,Ogled lokalne arhitekture – Valday,4,NE,NE,235
236,Obisk lokalne tržnice – Duraznopampa,3,NE,DA,236
237,Fotografski sprehod – Pancheng,1,DA,DA,237
238,Okušanje lokalne kulinarike – Krasnyy Yar,5,NE,DA,238
239,Družinski ogled mesta – Sunduan,4,NE,DA,239
240,Kulturni sprehod – Kiangan,3,DA,NE,240
241,Sprehod po mestnem središču – Tawaran,4,NE,DA,241
242,Kolesarski ogled mesta – Erhaodi,1,NE,DA,242
243,Ogled lokalne arhitekture – Bakung,2,DA,DA,243
244,Obisk lokalne tržnice – Inicbulan,4,NE,DA,244
245,Fotografski sprehod – Luxor,2,NE,NE,245
246,Okušanje lokalne kulinarike – Washington,4,DA,DA,246
247,Družinski ogled mesta – Huyuan,2,NE,DA,247
248,Kulturni sprehod – Tondano,3,NE,DA,248
249,Sprehod po mestnem središču – Koktal,3,DA,DA,249
250,Kolesarski ogled mesta – Huamali,4,NE,NE,250
251,Ogled lokalne arhitekture – Gaizhou,3,NE,DA,251
252,Obisk lokalne tržnice – Athabasca,4,DA,DA,252
253,Fotografski sprehod – George Hill,4,NE,DA,253
254,Okušanje lokalne kulinarike – Owase,3,NE,DA,254
255,Družinski ogled mesta – Ladushkin,3,DA,NE,255
256,Kulturni sprehod – San Jacinto,5,NE,DA,256
257,Sprehod po mestnem središču – Zoetermeer,3,NE,DA,257
258,Kolesarski ogled mesta – Coihaique,2,DA,DA,258
259,Ogled lokalne arhitekture – Sjöbo,4,NE,DA,259
260,Obisk lokalne tržnice – Wan Yai,3,NE,NE,260
261,Fotografski sprehod – Antioquia,2,DA,DA,261
262,Okušanje lokalne kulinarike – Březová nad Svitavou,2,NE,DA,262
263,Družinski ogled mesta – Spuž,2,NE,DA,263
264,Kulturni sprehod – Pandean,3,DA,DA,264
265,Sprehod po mestnem središču – Tangyin,5,NE,NE,265
266,Kolesarski ogled mesta – Salaya,2,NE,DA,266
267,Ogled lokalne arhitekture – Nangen,2,DA,DA,267
268,Obisk lokalne tržnice – Charlotte,3,NE,DA,268
269,Fotografski sprehod – Tapan,4,NE,DA,269
270,Okušanje lokalne kulinarike – Nikolinci,3,DA,NE,270
271,Družinski ogled mesta – Jinbo,1,NE,DA,271
272,Kulturni sprehod – Kaduketug,1,NE,DA,272
273,Sprehod po mestnem središču – Houston,4,DA,DA,273
274,Kolesarski ogled mesta – Tāybād,3,NE,DA,274
275,Ogled lokalne arhitekture – Paris 12,1,NE,NE,275
276,Obisk lokalne tržnice – Lloqan,2,DA,DA,276
277,Fotografski sprehod – København,4,NE,DA,277
278,Okušanje lokalne kulinarike – Herzliya Pituah,3,NE,DA,278
279,Družinski ogled mesta – Čair,4,DA,DA,279
280,Kulturni sprehod – Mikulášovice,4,NE,NE,280
281,Sprehod po mestnem središču – La Huaca,5,NE,DA,281
282,Kolesarski ogled mesta – Meliau,4,DA,DA,282
283,Ogled lokalne arhitekture – Kosamphi Nakhon,3,NE,DA,283
284,Obisk lokalne tržnice – Ramaram,1,NE,DA,284
285,Fotografski sprehod – Pitanga,4,DA,NE,285
286,Okušanje lokalne kulinarike – Senahú,3,NE,DA,286
287,Družinski ogled mesta – Adassil,4,NE,DA,287
288,Kulturni sprehod – Roldanillo,1,DA,DA,288
289,Sprehod po mestnem središču – Taivalkoski,3,NE,DA,289
290,Kolesarski ogled mesta – Proletar,2,NE,NE,290
291,Ogled lokalne arhitekture – Nurota Shahri,4,DA,DA,291
292,Obisk lokalne tržnice – Jinotega,1,NE,DA,292
293,Fotografski sprehod – Bisée,2,NE,DA,293
294,Okušanje lokalne kulinarike – Kuching,5,DA,DA,294
295,Družinski ogled mesta – San Emilio,2,NE,NE,295
296,Kulturni sprehod – Kinna,5,NE,DA,296
297,Sprehod po mestnem središču – Xinglongchang,2,DA,DA,297
298,Kolesarski ogled mesta – Blinsung,4,NE,DA,298
299,Ogled lokalne arhitekture – Ngandangan,3,NE,DA,299
300,Obisk lokalne tržnice – Nangkaruka,3,DA,NE,300
301,Fotografski sprehod – Krajan,3,NE,DA,301
302,Okušanje lokalne kulinarike – Bolong,4,NE,DA,302
303,Družinski ogled mesta – Jijia,5,DA,DA,303
304,Kulturni sprehod – Örebro,2,NE,DA,304
305,Sprehod po mestnem središču – Lingcheng,3,NE,NE,305
306,Kolesarski ogled mesta – Sikka,2,DA,DA,306
307,Ogled lokalne arhitekture – Xiaochi,3,NE,DA,307
308,Obisk lokalne tržnice – Karangori,4,NE,DA,308
309,Fotografski sprehod – Valle de Guanape,4,DA,DA,309
310,Okušanje lokalne kulinarike – Banjaranyar,4,NE,NE,310
311,Družinski ogled mesta – Boa Viagem,2,NE,DA,311
312,Kulturni sprehod – Las Vegas,3,DA,DA,312
313,Sprehod po mestnem središču – Kunri,4,NE,DA,313
314,Kolesarski ogled mesta – Carvoeira,3,NE,DA,314
315,Ogled lokalne arhitekture – Fundão,4,DA,NE,315
316,Obisk lokalne tržnice – Comrat,4,NE,DA,316
317,Fotografski sprehod – Oekero,3,NE,DA,317
318,Okušanje lokalne kulinarike – Chernogorsk,4,DA,DA,318
319,Družinski ogled mesta – Yanjiang,1,NE,DA,319
320,Kulturni sprehod – Ritchie,3,NE,NE,320
321,Sprehod po mestnem središču – Yelat’ma,3,DA,DA,321
322,Kolesarski ogled mesta – Xiaxindian,4,NE,DA,322
323,Ogled lokalne arhitekture – Uwelini,4,NE,DA,323
324,Obisk lokalne tržnice – Pagedangan,3,DA,DA,324
325,Fotografski sprehod – Mszana Dolna,3,NE,NE,325
326,Okušanje lokalne kulinarike – Dong’ao,1,NE,DA,326
327,Družinski ogled mesta – Kedung,5,DA,DA,327
328,Kulturni sprehod – Xincheng,4,NE,DA,328
329,Sprehod po mestnem središču – Macon,4,NE,DA,329
330,Kolesarski ogled mesta – Mapalad,3,DA,NE,330
331,Ogled lokalne arhitekture – Lumbardhi,5,NE,DA,331
332,Obisk lokalne tržnice – San Mateo,4,NE,DA,332
333,Fotografski sprehod – Porta,2,DA,DA,333
334,Okušanje lokalne kulinarike – Francos,5,NE,DA,334
335,Družinski ogled mesta – San José de Barlovento,2,NE,NE,335
336,Kulturni sprehod – Phimai,4,DA,DA,336
337,Sprehod po mestnem središču – Vilhena,3,NE,DA,337
338,Kolesarski ogled mesta – Poja,2,NE,DA,338
339,Ogled lokalne arhitekture – Tianzishan,3,DA,DA,339
340,Obisk lokalne tržnice – Kuniran,2,NE,NE,340
341,Fotografski sprehod – Puerto Cabezas,2,NE,DA,341
342,Okušanje lokalne kulinarike – Konstancin-Jeziorna,1,DA,DA,342
343,Družinski ogled mesta – Yartsevo,5,NE,DA,343
344,Kulturni sprehod – Wenling,4,NE,DA,344
345,Sprehod po mestnem središču – Winston Salem,3,DA,NE,345
346,Kolesarski ogled mesta – T’et’ri Tsqaro,2,NE,DA,346
347,Ogled lokalne arhitekture – Listvyanskiy,2,NE,DA,347
348,Obisk lokalne tržnice – Tipaz,5,DA,DA,348
349,Fotografski sprehod – Kuressaare,4,NE,DA,349
350,Okušanje lokalne kulinarike – Ti-n-Essako,5,NE,NE,350
351,Družinski ogled mesta – Menghai,2,DA,DA,351
352,Kulturni sprehod – Banjar Baleagung,5,NE,DA,352
353,Sprehod po mestnem središču – Somerset East,3,NE,DA,353
354,Kolesarski ogled mesta – San Lucas Tolimán,1,DA,DA,354
355,Ogled lokalne arhitekture – Mikstat,5,NE,NE,355
356,Obisk lokalne tržnice – Haihui,3,NE,DA,356
357,Fotografski sprehod – Lok,2,DA,DA,357
358,Okušanje lokalne kulinarike – Pimbalayan,2,NE,DA,358
359,Družinski ogled mesta – Taksimo,2,NE,DA,359
360,Kulturni sprehod – Sinamaica,2,DA,NE,360
361,Sprehod po mestnem središču – Dali,3,NE,DA,361
362,Kolesarski ogled mesta – Faīẕābād,2,NE,DA,362
363,Ogled lokalne arhitekture – Arras,4,DA,DA,363
364,Obisk lokalne tržnice – Takahata,5,NE,DA,364
365,Fotografski sprehod – Bagadó,2,NE,NE,365
366,Okušanje lokalne kulinarike – Toungo,4,DA,DA,366
367,Družinski ogled mesta – El Cantón,3,NE,DA,367
368,Kulturni sprehod – Bagakay,2,NE,DA,368
369,Sprehod po mestnem središču – Armação,2,DA,DA,369
370,Kolesarski ogled mesta – Disūq,3,NE,NE,370
371,Ogled lokalne arhitekture – Lubuagan,4,NE,DA,371
372,Obisk lokalne tržnice – Purda,4,DA,DA,372
373,Fotografski sprehod – Baishi,3,NE,DA,373
374,Okušanje lokalne kulinarike – Komorów,4,NE,DA,374
375,Družinski ogled mesta – Brvenica,3,DA,NE,375
376,Kulturni sprehod – Khrebtovaya,2,NE,DA,376
377,Sprehod po mestnem središču – Sandaogou,3,NE,DA,377
378,Kolesarski ogled mesta – Santa Gertrudes,4,DA,DA,378
379,Ogled lokalne arhitekture – Wilfrido Loor Moreira,4,NE,DA,379
380,Obisk lokalne tržnice – Tongzha,2,NE,NE,380
381,Fotografski sprehod – Kampong Chhnang,5,DA,DA,381
382,Okušanje lokalne kulinarike – Wuluo,3,NE,DA,382
383,Družinski ogled mesta – Tuzhai,3,NE,DA,383
384,Kulturni sprehod – Tucson,4,DA,DA,384
385,Sprehod po mestnem središču – Dukuhsia,5,NE,NE,385
386,Kolesarski ogled mesta – Kovářská,4,NE,DA,386
387,Ogled lokalne arhitekture – Jaboatão dos Guararapes,1,DA,DA,387
388,Obisk lokalne tržnice – Catalina,1,NE,DA,388
389,Fotografski sprehod – Di Linh,4,NE,DA,389
390,Okušanje lokalne kulinarike – Richmond,5,DA,NE,390
391,Družinski ogled mesta – Poręba Spytkowska,1,NE,DA,391
392,Kulturni sprehod – San Carlos,5,NE,DA,392
393,Sprehod po mestnem središču – Placer,2,DA,DA,393
394,Kolesarski ogled mesta – Kayakent,4,NE,DA,394
395,Ogled lokalne arhitekture – Piškorevci,3,NE,NE,395
396,Obisk lokalne tržnice – Cigaras,4,DA,DA,396
397,Fotografski sprehod – Dežanovac,1,NE,DA,397
398,Okušanje lokalne kulinarike – Boguszów-Gorce,4,NE,DA,398
399,Družinski ogled mesta – Morelos,4,DA,DA,399
400,Kulturni sprehod – Chakwāl,4,NE,NE,400
401,Sprehod po mestnem središču – Selorejo,4,NE,DA,401
402,Kolesarski ogled mesta – Bonabéri,2,DA,DA,402
403,Ogled lokalne arhitekture – Asamankese,1,NE,DA,403
404,Obisk lokalne tržnice – Dongqianhu,3,NE,DA,404
405,Fotografski sprehod – Rimouski,5,DA,NE,405
406,Okušanje lokalne kulinarike – Ngulangan,5,NE,DA,406
407,Družinski ogled mesta – Mospyne,3,NE,DA,407
408,Kulturni sprehod – Svalöv,2,DA,DA,408
409,Sprehod po mestnem središču – Yasugichō,5,NE,DA,409
410,Kolesarski ogled mesta – Blawi,3,NE,NE,410
411,Ogled lokalne arhitekture – Jiang’an,4,DA,DA,411
412,Obisk lokalne tržnice – Qal‘eh-ye Khvājeh,2,NE,DA,412
413,Fotografski sprehod – Punta Gorda,3,NE,DA,413
414,Okušanje lokalne kulinarike – Tsiombe,2,DA,DA,414
415,Družinski ogled mesta – Khonj,3,NE,NE,415
416,Kulturni sprehod – Fenggao,5,NE,DA,416
417,Sprehod po mestnem središču – Socabaya,5,DA,DA,417
418,Kolesarski ogled mesta – Chengnan,3,NE,DA,418
419,Ogled lokalne arhitekture – Izra‘,1,NE,DA,419
420,Obisk lokalne tržnice – Bhamo,5,DA,NE,420
421,Fotografski sprehod – Akim Oda,4,NE,DA,421
422,Okušanje lokalne kulinarike – Taoyuan,4,NE,DA,422
423,Družinski ogled mesta – Rato,5,DA,DA,423
424,Kulturni sprehod – Amsterdam,3,NE,DA,424
425,Sprehod po mestnem središču – Ncue,2,NE,NE,425
426,Kolesarski ogled mesta – Zhonghe,3,DA,DA,426
427,Ogled lokalne arhitekture – Brumado,5,NE,DA,427
428,Obisk lokalne tržnice – Rosthern,4,NE,DA,428
429,Fotografski sprehod – Bergen,2,DA,DA,429
430,Okušanje lokalne kulinarike – Sumilao,3,NE,NE,430
431,Družinski ogled mesta – Cibatu,2,NE,DA,431
432,Kulturni sprehod – Guarulhos,1,DA,DA,432
433,Sprehod po mestnem središču – Kolyshley,2,NE,DA,433
434,Kolesarski ogled mesta – Olympia,4,NE,DA,434
435,Ogled lokalne arhitekture – Conchopata,2,DA,NE,435
436,Obisk lokalne tržnice – Borzna,3,NE,DA,436
437,Fotografski sprehod – Krasnodar,5,NE,DA,437
438,Okušanje lokalne kulinarike – Anju,4,DA,DA,438
439,Družinski ogled mesta – Hoxtolgay,4,NE,DA,439
440,Kulturni sprehod – Načeradec,5,NE,NE,440
441,Sprehod po mestnem središču – Tenggong,3,DA,DA,441
442,Kolesarski ogled mesta – Áyios Yeóryios,3,NE,DA,442
443,Ogled lokalne arhitekture – Brampton,4,NE,DA,443
444,Obisk lokalne tržnice – Accha,1,DA,DA,444
445,Fotografski sprehod – La Trinidad,1,NE,NE,445
446,Okušanje lokalne kulinarike – Ban Ratsada,3,NE,DA,446
447,Družinski ogled mesta – Karanyowka,1,DA,DA,447
448,Kulturni sprehod – Hekou,4,NE,DA,448
